,Unnamed: 0,acousticness,danceability,energy,instrumentalness,key,livenepathsss,loudness,mode,speechiness,tempo,time_signature,Unnamed: 0,title,artist,paths,emotion
0,0,0.0008820000000000001,0.6459999999999999,0.8320000000000001,0.000251,7,0.138,-7.682,1,0.0309,121.00299999999999,4,0,['One Way Street'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/02 One Way Street.mp3,2
1,1,0.0563,0.71,0.8,0.0,5,0.0834,-3.4389999999999996,0,0.0339,93.01,4,1,['One More Night'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/01 - One More Night (www.SongsLover.pk).mp3,2
2,2,0.0204,0.486,0.7440000000000001,0.00298,6,0.11199999999999999,-7.176,1,0.0404,132.446,4,2,"[""Knockin' On Heaven's Door""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/05.Knockin' On Heaven's Door.mp3,2
3,3,0.0132,0.42100000000000004,0.8220000000000001,0.0,2,0.092,-4.415,1,0.0542,171.935,4,3,['Summer Paradise'],['Simple Plan'],/home/dhanush/Music/MusicClassify/happy/08-Summer Paradise (Feat. K'naan).mp3,2
4,4,0.17600000000000002,0.752,0.883,0.0,6,0.204,-4.042,1,0.131,123.87100000000001,4,4,['Turn Up the Love'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/04 Turn Up the Love (www.SongsLover.com).mp3,2
5,5,0.0183,0.575,0.88,0.0,0,0.379,-1.861,1,0.0579,127.882,4,5,['Never Leave'],['DVBBS'],/home/dhanush/Music/MusicClassify/happy/DVBBS - Never Leave (Official Music Video).mp3,2
6,6,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,6,['Outside ft. Ellie Goulding (Savagez Remix)'],['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Outside ft. Ellie Goulding (Savagez Remix).mp3,2
7,7,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,7,['Wild Woman'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/12 Wild Woman.mp3,2
8,8,0.0282,0.6709999999999999,0.9159999999999999,0.00762,6,0.24,-4.013999999999999,0,0.0397,126.01,4,8,['No Money'],['Galantis'],/home/dhanush/Music/MusicClassify/happy/Galantis – No Money (Original Mix).mp3,2
9,9,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,9,['Never Been To Spain'],['Jessica Hart'],/home/dhanush/Music/MusicClassify/happy/Jessica Hart - Never Been To Spain.mp3,2
10,10,0.0613,0.337,0.552,0.0,0,0.183,-5.507999999999999,0,0.0387,137.031,4,10,['Steal Your Heart (Culture Code Remix)'],['BRKLYN'],/home/dhanush/Music/MusicClassify/happy/BRKLYN - Steal Your Heart (Culture Code Remix).mp3,2
11,11,0.0267,0.802,0.8059999999999999,0.0,5,0.071,-2.779,1,0.0636,140.017,4,11,"[""Until You're Over Me""]",['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Until You're Over Me.mp3,2
12,12,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,12,['Cold Water (feat. Justin Bieber & MØ)'],['Major Lazer'],/home/dhanush/Music/MusicClassify/happy/Cold Water (feat. Justin Bieber & MØ).mp3,2
13,13,0.0292,0.662,0.873,0.0,0,0.22399999999999998,-3.116,0,0.0395,129.90200000000002,4,13,['Where Them Girls At - Feat. Flo Rida & Nicki Minaj'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Where Them Girls At (feat. Flo Rida and Nicki Minaj).mp3,2
14,14,0.05,0.534,0.711,0.0031,10,0.135,-5.9270000000000005,0,0.0368,128.102,4,14,['Forbidden Voices'],['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Forbidden Voices.mp3,2
15,15,0.0038,0.63,0.753,0.0,1,0.191,-4.621,0,0.0305,123.964,4,15,['Love'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/08 Love.mp3,2
16,16,0.000239,0.457,0.904,0.0879,2,0.396,-5.303,1,0.0747,141.03799999999998,4,16,['Shoot To Thrill'],['AC/DC'],/home/dhanush/Music/MusicClassify/happy/Shoot To Thrill.mp3,2
17,17,0.13,0.7929999999999999,0.775,0.0,6,0.0945,-4.33,0,0.0351,125.00299999999999,4,17,['Feel You'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Feel You.mp3,2
18,18,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,18,['I Wanna Know (feat. Nico & Vin'],['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - I Wanna Know (feat. Nico & Vinz).mp3,2
19,19,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,19,"[""I'm An Albatraoz""]",['Aron Chupa'],/home/dhanush/Music/MusicClassify/happy/Aron Chupa - Im An Albatraoz.mp3,2
20,20,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,20,['Undone'],['Jane XØ x Dannic'],/home/dhanush/Music/MusicClassify/happy/Jane XØ x Dannic - Undone.mp3,2
21,21,0.0553,0.67,0.935,0.0,9,0.41200000000000003,-2.0380000000000003,1,0.0435,127.95200000000001,4,21,['I Can Only Imagine'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/I Can Only Imagine (feat. Chris Brown and Lil Wayne).mp3,2
22,22,0.141,0.449,0.9009999999999999,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,22,"[""Sweet Child O' Mine""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/02.Sweet Child O' Mine.mp3,2
23,23,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,23,['Sex'],['Cheat Codes & Kriss Kross Amsterdam'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Kriss Kross Amsterdam - Sex (Edit).mp3,2
24,24,0.0666,0.703,0.7859999999999999,0.0,8,0.5529999999999999,-2.2430000000000003,1,0.0561,127.954,4,24,['Turn Me On'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Turn Me On (feat. Nicki Minaj).mp3,2
25,25,0.011000000000000001,0.31,0.7,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,25,['Back In Black'],['ACDC'],/home/dhanush/Music/MusicClassify/happy/Back In Black.mp3,2
26,26,0.0125,0.7240000000000001,0.7609999999999999,0.0,11,0.36,-4.158,0,0.0463,128.03799999999998,4,26,['Moves Like Jagger (Feat. Christina Aguilera)'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Moves Like Jagger (feat. Christina Aguilera).mp3,2
27,27,0.037000000000000005,0.667,0.877,0.0,0,0.326,-4.1160000000000005,1,0.0372,101.999,4,27,['Ghost'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/10 Ghost.mp3,2
28,28,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,28,['Close (feat. Molly Ann)'],['IZECOLD'],/home/dhanush/Music/MusicClassify/happy/IZECOLD - Close (feat. Molly Ann).mp3,2
29,29,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,29,['Every Tear Drop Is A Waterfall'],['Coldplay'],/home/dhanush/Music/MusicClassify/happy/Every Tear Drop Is A Waterfall.mp3,2
30,30,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,30,['Five More Hours'],['Deorro & Chris Brown'],/home/dhanush/Music/MusicClassify/happy/Deorro X Chris Brown - Five More Hours.mp3,2
31,31,0.00115,0.636,0.7340000000000001,0.00033,10,0.0923,-8.946,1,0.0311,124.016,4,31,['Angel Eyes'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/01 Angel Eyes.mp3,2
32,32,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,32,['Summer (Club Killers & Dropwizz Trap Remix)'],['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Summer (Club Killers & Dropwizz Trap Remix).mp3,2
33,33,0.0552,0.449,0.76,1.4400000000000001e-05,10,0.11800000000000001,-7.531000000000001,1,0.11599999999999999,159.77700000000002,4,33,['Sleepwalker (feat. Joni Fatora)'],['Illenium'],/home/dhanush/Music/MusicClassify/happy/Illenium - Sleepwalker (feat. Joni Fatora).mp3,2
34,34,0.0633,0.6409999999999999,0.794,0.0,8,0.0913,-6.0,0,0.321,124.98299999999999,4,34,['A Dream'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - A Dream.mp3,2
35,35,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,35,['SummerThing! (feat. Mike Taylor)'],['Afrojack'],/home/dhanush/Music/MusicClassify/happy/Afrojack Ft. Mike Taylor - SummerThing!.mp3,2
36,36,0.00205,0.638,0.924,0.000173,7,0.149,-3.887,1,0.0359,111.995,4,36,['Adventure Of A Lifetime'],['Coldplay'],/home/dhanush/Music/MusicClassify/happy/05. Adventure Of A Lifetime.mp3,2
37,37,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,37,['Whole Heart'],['Gryffin and Bipolar Sunshine'],/home/dhanush/Music/MusicClassify/happy/Gryffin and Bipolar Sunshine - Whole Heart.mp3,2
38,38,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,38,['Set Me Free (feat. LIZ)'],['Diplo'],/home/dhanush/Music/MusicClassify/happy/Diplo - Set Me Free (feat. LIZ) [pleer.com].mp3,2
39,39,0.0569,0.735,0.66,0.0,0,0.203,-3.908,1,0.0291,128.007,4,39,['Nothing Really Matters'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Nothing Really Matters (feat. Will.i.am).mp3,2
40,40,0.0326,0.445,0.955,0.284,8,0.317,-8.027000000000001,1,0.0856,123.34299999999999,4,40,['Welcome To The Jungle'],"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/01.Welcome To The Jungle.mp3,2
41,41,0.0101,0.741,0.7040000000000001,0.0,10,0.18600000000000003,-5.803,0,0.0439,128.02100000000002,4,41,['Night Of Your Life'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Night Of Your Life (feat. Jennifer Hudson).mp3,2
42,42,0.007379999999999999,0.35200000000000004,0.843,0.0,7,0.0883,-7.983,0,0.48200000000000004,165.29,5,42,['Like a G6'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/15 Like a G6 (www.SongsLover.com).mp3,2
43,43,0.408,0.486,0.652,6.63e-05,11,0.077,-7.226,0,0.052000000000000005,113.055,4,43,['Firestone'],['Kygo'],/home/dhanush/Music/MusicClassify/happy/30. Kygo - Firestone (Feat. Conrad).mp3,2
44,44,0.0591,0.573,0.9129999999999999,0.00173,6,0.156,-4.793,0,0.132,115.715,4,44,['Highway To Hell'],['AC-DC'],/home/dhanush/Music/MusicClassify/happy/Highway To Hell.mp3,2
45,45,0.0158,0.8,0.804,1.77e-06,4,0.13,-4.158,0,0.0305,119.99600000000001,4,45,['Tickets'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/10 - Tickets (www.SongsLover.pk).mp3,2
46,46,0.0214,0.27399999999999997,0.9490000000000001,0.00778,11,0.218,-8.642000000000001,1,0.0896,100.346,4,46,['Paradise City'],"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/04.Paradise City.mp3,2
47,47,0.0629,0.6729999999999999,0.902,0.000174,2,0.0552,-2.378,1,0.0347,100.016,4,47,['Best Day of My Life'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/03 Best Day of My Life.mp3,2
48,48,0.021,0.495,0.831,4.79e-05,5,0.495,-5.812,0,0.0319,128.064,5,48,"[""Now That I've Found You (feat. John & Michel)""]",['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Now That I've Found You (feat. John & Michel).mp3,2
49,49,0.0313,0.43,0.955,0.218,7,0.247,-2.509,1,0.0381,199.917,4,49,['Ocean Eyes (GOLDHOUSE Remix)'],['Billie Eilish'],/home/dhanush/Music/MusicClassify/happy/Billie Eilish - Ocean Eyes (GOLDHOUSE Remix).mp3,2
50,50,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,50,['Hey (feat. Afrojack)'],['Fais'],/home/dhanush/Music/MusicClassify/happy/Fais - Hey (feat. Afrojack).mp3,2
51,51,0.28600000000000003,0.7190000000000001,0.809,0.0,6,0.081,-4.678999999999999,1,0.182,125.072,4,51,['Ghosts'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Ghosts.mp3,2
52,52,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,52,"['Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix)']","['Dimitri Vegas, Moguai & Like Mike']","/home/dhanush/Music/MusicClassify/happy/Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix).mp3",2
53,53,0.00054,0.601,0.945,0.0,2,0.314,-2.516,0,0.0671,125.98,4,53,['On & On'],['GOLDHOUSE'],/home/dhanush/Music/MusicClassify/happy/GOLDHOUSE - On & On.mp3,2
54,54,0.217,0.675,0.885,0.0,1,0.086,-4.4319999999999995,0,0.0436,97.03,4,54,"['Hey, Soul Sister']",['Train'],"/home/dhanush/Music/MusicClassify/happy/02  Train - Hey, Soul Sister.mp3",2
55,55,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,55,['Never Wanna Leave (feat. Stevyn)'],['Dytone'],/home/dhanush/Music/MusicClassify/happy/Dytone - Never Wanna Leave (feat. Stevyn).mp3,2
56,56,0.00499,0.634,0.7240000000000001,0.000193,5,0.0732,-5.8420000000000005,0,0.0546,148.024,4,56,"['Revolution (feat. Imanos, Faustix & Kai)']",['Diplo'],"/home/dhanush/Music/MusicClassify/happy/02 Revolution (feat. Imanos, Faustix & Kai).mp3",2
57,57,0.00144,0.581,0.968,0.0238,1,0.161,-2.92,1,0.0373,120.00399999999999,4,57,['Believer'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/01 Believer.mp3,2
58,58,0.166,0.6659999999999999,0.8190000000000001,0.0,4,0.261,-6.053,0,0.0466,95.999,4,58,['Rocketeer'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/16 Rocketeer (feat. Ryan Tedder) (www.SongsLover.com).mp3,2
59,59,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,59,['How Deep Is Your Love (T-Mass & Ellusive Remix)'],['Calvin Harris & Disciples'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris & Disciples - How Deep Is Your Love (T-Mass & Ellusive Remix).mp3,2
60,60,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,60,['Let Me Hold You (Turn Me On)'],['Cheat Codes & Dante Klein [mp3-crazy.com]'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Dante Klein - Let Me Hold You (Turn Me On) (Original Mix) [pesnik.su].mp3,2
61,61,0.0663,0.544,0.899,0.0,10,0.35100000000000003,-3.903,0,0.158,120.96700000000001,4,61,['Take My Breath Away'],['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - Take My Breath Away.mp3,2
62,62,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,62,['Follow Me'],['Hardwell & Jason Derulo'],/home/dhanush/Music/MusicClassify/happy/Hardwell & Jason Derulo - Follow Me.mp3,2
63,63,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,63,['Like A G6'],['Far East Movement feat. The Cataracs'],/home/dhanush/Music/MusicClassify/happy/far east movement feat.The cataracs-Like a g6.mp3,2
64,64,0.0121,0.607,0.9359999999999999,0.0418,4,0.309,-3.071,1,0.033,117.303,4,64,['Bigger Than My Body'],['John Mayer'],/home/dhanush/Music/MusicClassify/happy/John Mayer - Heavier Things - 02 - Bigger Than My Body.mp3,2
65,65,0.0208,0.396,0.6940000000000001,0.000386,0,0.111,-4.479,1,0.0459,85.7,4,65,['Reverie (feat. King Deco)'],['Illenium'],/home/dhanush/Music/MusicClassify/happy/01 Reverie (feat. King Deco).mp3,2
66,66,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,66,"['GFDR (feat. Sage, The Gemini and Lookas)']",['Flo Rida'],/home/dhanush/Music/MusicClassify/happy/Flo Rida - GDFR (ft. Sage The Gemini and Lookas).mp3,2
67,67,0.00041600000000000003,0.698,0.828,0.0,4,0.2,-4.7989999999999995,0,0.0445,102.971,4,67,['Misery'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Misery.mp3,2
68,68,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,68,['Broken Arrows (CDQ)'],['Avicii Ft. Zac Brown Band'],/home/dhanush/Music/MusicClassify/happy/Avicii Ft. Zac Brown Band - Broken Arrows .mp3,2
69,69,0.0218,0.527,0.902,1.97e-06,2,0.113,-5.346,1,0.035,82.014,4,69,['Someday'],['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/happy/07 Someday.mp3,2
70,70,0.465,0.619,0.43700000000000006,0.00609,7,0.0971,-11.755999999999998,1,0.0314,89.51100000000001,4,0,['Stop This Train'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/07 - Stop This Train.mp3,3
71,71,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,1,['You Make Me Wanna'],['Blue'],/home/dhanush/Music/MusicClassify/sadness/You know u make me wanna!.mp3,3
72,72,0.0023899999999999998,0.429,0.6609999999999999,0.00013000000000000002,11,0.23399999999999999,-7.227,1,0.0281,173.365,4,2,['Yellow'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Yellow.mp3,3
73,73,0.0642,0.743,0.53,0.0,7,0.36,-6.61,1,0.0329,96.99600000000001,4,3,['Must Get Out'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Must Get Out.mp3,3
74,74,0.0593,0.695,0.684,0.0,0,0.125,-5.403,0,0.0288,102.041,4,4,['She Will Be Loved'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/She Will Be Loved.mp3,3
75,75,0.34299999999999997,0.46,0.622,0.0,0,0.124,-3.239,1,0.0293,79.81,4,5,['Better That We Break'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Better That We Break.mp3,3
76,76,0.0742,0.309,0.76,0.000118,0,0.444,-5.3629999999999995,1,0.0386,139.36,4,6,['Amazing'],['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Amazing.mp3,3
77,77,0.306,0.43200000000000005,0.742,0.0,10,0.127,-6.081,1,0.0304,154.158,4,7,['Calling Out Your Name'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Calling Out Your Name.mp3,3
78,78,0.0222,0.35,0.5720000000000001,0.0214,5,0.146,-8.399,1,0.0253,93.01299999999999,4,8,['Miracles'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/12. Miracles.mp3,3
79,79,0.267,0.584,0.509,0.00252,2,0.36,-13.109000000000002,1,0.0287,90.45700000000001,4,9,['Who Says'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/04 Who Says.mp3,3
80,80,0.163,0.209,0.418,0.00195,3,0.113,-8.74,1,0.0338,138.265,4,10,['Fix You'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Coldplay - Fix You.mp3,3
81,81,0.0571,0.6709999999999999,0.529,0.0,3,0.10800000000000001,-5.0089999999999995,1,0.0246,136.07,4,11,['Nothing To Lose'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/05 Nothing To Lose.mp3,3
82,82,0.392,0.48200000000000004,0.55,0.0208,9,0.111,-4.485,1,0.0267,114.435,3,12,['Come Back To Bed'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 05 - Come Back To Bed.mp3,3
83,83,0.551,0.5820000000000001,0.395,0.000118,10,0.258,-8.279,1,0.0274,117.179,4,13,['Wheel'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 10 - Wheel.mp3,3
84,84,0.0186,0.5710000000000001,0.622,3.53e-06,2,0.11900000000000001,-4.447,1,0.0245,142.05,4,14,['Paint My Love'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/15 Paint My Love.mp3,3
85,85,0.0557,0.632,0.8220000000000001,0.00048499999999999997,5,0.145,-5.737,1,0.0281,115.113,4,15,"[""Janie's got a gun""]",['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Janie's got a gun.mp3,3
86,86,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,16,['Angle'],['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Angle.mp3,3
87,87,0.0621,0.579,0.597,0.0,2,0.27399999999999997,-4.942,0,0.0247,164.02200000000002,4,17,"[""I'm Gonna Be Around""]",['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/17 I'm Gonna Be Around.mp3,3
88,88,0.0228,0.5,0.8440000000000001,0.00398,10,0.455,-5.882999999999999,1,0.0369,123.727,4,18,['The Hardest Part'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/The Hardest Part.mp3,3
89,89,0.0652,0.72,0.6679999999999999,0.006640000000000001,9,0.0789,-7.928,1,0.0269,123.007,4,19,['1973'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/1973.mp3,3
90,90,0.354,0.763,0.428,0.0889,6,0.106,-13.485999999999999,0,0.032,117.93799999999999,4,20,['War Of My Life'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/08 War Of My Life.mp3,3
91,91,0.00295,0.44299999999999995,0.631,0.00324,8,0.106,-8.568,0,0.0326,124.212,4,21,"[""Don't Cry (Original)""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/sadness/08.Don't Cry (Original).mp3,3
92,92,0.0219,0.502,0.574,0.0,6,0.10400000000000001,-5.7860000000000005,1,0.0259,163.025,4,22,['25 Minutes'],['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/sadness/09 25 Minutes.mp3,3
93,93,0.142,0.675,0.764,0.0,1,0.11699999999999999,-6.242999999999999,1,0.0373,120.009,4,23,['Love Somebody'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/06 - Love Somebody (www.SongsLover.pk).mp3,3
94,94,0.0799,0.568,0.782,0.0,6,0.0985,-5.968,1,0.0396,141.942,4,24,['drowning'],['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/drowning.mp3,3
95,95,0.191,0.624,0.5539999999999999,0.00131,2,0.299,-8.113,1,0.0225,97.031,4,25,['Heartbreak Warfare'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/01 Heartbreak Warfare.mp3,3
96,96,0.0879,0.595,0.675,0.0,0,0.12,-6.696000000000001,1,0.035,134.08,4,26,['This Is Us'],['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/Backstreet Boys - This Is Us.mp3,3
97,97,0.203,0.669,0.6729999999999999,0.0271,7,0.16399999999999998,-9.754,1,0.0248,132.68,4,27,"[""Lyin' Eyes""]",['Eagles'],/home/dhanush/Music/MusicClassify/sadness/076 Lyin_ Eyes.mp3,3
98,98,9999.0,9999.0,9999.0,9999.0,9999,9999.0,9999.0,9999,9999.0,9999.0,9999,28,['Show Me The Meaning Of Being L'],['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/show me the meaning of beeing lonely.mp3,3
99,99,0.28800000000000003,0.5589999999999999,0.51,5.31e-05,5,0.242,-8.294,0,0.0247,129.881,4,29,['All We Ever Do Is Say Goodbye'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/02 All We Ever Do Is Say Goodbye.mp3,3
100,100,0.293,0.701,0.569,1.7199999999999998e-05,0,0.0703,-6.587000000000001,1,0.0272,80.186,4,30,['The Actor'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/04 The Actor.mp3,3
101,101,0.456,0.535,0.445,0.0677,4,0.11199999999999999,-9.155,1,0.0292,146.099,4,31,['Everglow'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/04. Everglow.mp3,3
102,102,0.18899999999999997,0.561,0.547,0.00157,11,0.17,-7.496,0,0.0321,139.755,4,32,['Trouble'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Trouble.mp3,3
103,103,0.818,0.517,0.344,0.00809,9,0.0763,-9.925,1,0.0303,75.285,3,33,"[""I'm Gonna Find Another You""]",['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/12 - I'm Gonna Find Another You.mp3,3
104,104,0.887,0.5379999999999999,0.317,0.424,4,0.11199999999999999,-15.237,0,0.0299,79.929,4,34,['Do You Know Me'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/10 Do You Know Me.mp3,3
