,title,artist,paths,emotion
0,['One Way Street'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/02 One Way Street.mp3,2
1,['One More Night'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/01 - One More Night (www.SongsLover.pk).mp3,2
2,"[""Knockin' On Heaven's Door""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/05.Knockin' On Heaven's Door.mp3,2
3,['Summer Paradise'],['Simple Plan'],/home/dhanush/Music/MusicClassify/happy/08-Summer Paradise (Feat. K'naan).mp3,2
4,['Turn Up the Love'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/04 Turn Up the Love (www.SongsLover.com).mp3,2
5,['Never Leave'],['DVBBS'],/home/dhanush/Music/MusicClassify/happy/DVBBS - Never Leave (Official Music Video).mp3,2
6,['Outside ft. Ellie Goulding (Savagez Remix)'],['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Outside ft. Ellie Goulding (Savagez Remix).mp3,2
7,['Wild Woman'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/12 Wild Woman.mp3,2
8,['No Money'],['Galantis'],/home/dhanush/Music/MusicClassify/happy/Galantis – No Money (Original Mix).mp3,2
9,['Never Been To Spain'],['Jessica Hart'],/home/dhanush/Music/MusicClassify/happy/Jessica Hart - Never Been To Spain.mp3,2
10,['Steal Your Heart (Culture Code Remix)'],['BRKLYN'],/home/dhanush/Music/MusicClassify/happy/BRKLYN - Steal Your Heart (Culture Code Remix).mp3,2
11,"[""Until You're Over Me""]",['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Until You're Over Me.mp3,2
12,['Cold Water (feat. Justin Bieber & MØ)'],['Major Lazer'],/home/dhanush/Music/MusicClassify/happy/Cold Water (feat. Justin Bieber & MØ).mp3,2
13,['Where Them Girls At - Feat. Flo Rida & Nicki Minaj'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Where Them Girls At (feat. Flo Rida and Nicki Minaj).mp3,2
14,['Forbidden Voices'],['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Forbidden Voices.mp3,2
15,['Love'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/08 Love.mp3,2
16,['Shoot To Thrill'],['AC/DC'],/home/dhanush/Music/MusicClassify/happy/Shoot To Thrill.mp3,2
17,['Feel You'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Feel You.mp3,2
18,['I Wanna Know (feat. Nico & Vin'],['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - I Wanna Know (feat. Nico & Vinz).mp3,2
19,"[""I'm An Albatraoz""]",['Aron Chupa'],/home/dhanush/Music/MusicClassify/happy/Aron Chupa - Im An Albatraoz.mp3,2
20,['Undone'],['Jane XØ x Dannic'],/home/dhanush/Music/MusicClassify/happy/Jane XØ x Dannic - Undone.mp3,2
21,['I Can Only Imagine'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/I Can Only Imagine (feat. Chris Brown and Lil Wayne).mp3,2
22,"[""Sweet Child O' Mine""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/02.Sweet Child O' Mine.mp3,2
23,['Sex'],['Cheat Codes & Kriss Kross Amsterdam'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Kriss Kross Amsterdam - Sex (Edit).mp3,2
24,['Turn Me On'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Turn Me On (feat. Nicki Minaj).mp3,2
25,['Back In Black'],['ACDC'],/home/dhanush/Music/MusicClassify/happy/Back In Black.mp3,2
26,['Moves Like Jagger (Feat. Christina Aguilera)'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Moves Like Jagger (feat. Christina Aguilera).mp3,2
27,['Ghost'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/10 Ghost.mp3,2
28,['Close (feat. Molly Ann)'],['IZECOLD'],/home/dhanush/Music/MusicClassify/happy/IZECOLD - Close (feat. Molly Ann).mp3,2
29,['Every Tear Drop Is A Waterfall'],['Coldplay'],/home/dhanush/Music/MusicClassify/happy/Every Tear Drop Is A Waterfall.mp3,2
30,['Five More Hours'],['Deorro & Chris Brown'],/home/dhanush/Music/MusicClassify/happy/Deorro X Chris Brown - Five More Hours.mp3,2
31,['Angel Eyes'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/happy/01 Angel Eyes.mp3,2
32,['Summer (Club Killers & Dropwizz Trap Remix)'],['Calvin Harris'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris - Summer (Club Killers & Dropwizz Trap Remix).mp3,2
33,['Sleepwalker (feat. Joni Fatora)'],['Illenium'],/home/dhanush/Music/MusicClassify/happy/Illenium - Sleepwalker (feat. Joni Fatora).mp3,2
34,['A Dream'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - A Dream.mp3,2
35,['SummerThing! (feat. Mike Taylor)'],['Afrojack'],/home/dhanush/Music/MusicClassify/happy/Afrojack Ft. Mike Taylor - SummerThing!.mp3,2
36,['Adventure Of A Lifetime'],['Coldplay'],/home/dhanush/Music/MusicClassify/happy/05. Adventure Of A Lifetime.mp3,2
37,['Whole Heart'],['Gryffin and Bipolar Sunshine'],/home/dhanush/Music/MusicClassify/happy/Gryffin and Bipolar Sunshine - Whole Heart.mp3,2
38,['Set Me Free (feat. LIZ)'],['Diplo'],/home/dhanush/Music/MusicClassify/happy/Diplo - Set Me Free (feat. LIZ) [pleer.com].mp3,2
39,['Nothing Really Matters'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Nothing Really Matters (feat. Will.i.am).mp3,2
40,['Welcome To The Jungle'],"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/01.Welcome To The Jungle.mp3,2
41,['Night Of Your Life'],['David Guetta'],/home/dhanush/Music/MusicClassify/happy/Night Of Your Life (feat. Jennifer Hudson).mp3,2
42,['Like a G6'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/15 Like a G6 (www.SongsLover.com).mp3,2
43,['Firestone'],['Kygo'],/home/dhanush/Music/MusicClassify/happy/30. Kygo - Firestone (Feat. Conrad).mp3,2
44,['Highway To Hell'],['AC-DC'],/home/dhanush/Music/MusicClassify/happy/Highway To Hell.mp3,2
45,['Tickets'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/10 - Tickets (www.SongsLover.pk).mp3,2
46,['Paradise City'],"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/happy/04.Paradise City.mp3,2
47,['Best Day of My Life'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/03 Best Day of My Life.mp3,2
48,"[""Now That I've Found You (feat. John & Michel)""]",['Martin Garrix'],/home/dhanush/Music/MusicClassify/happy/01 Now That I've Found You (feat. John & Michel).mp3,2
49,['Ocean Eyes (GOLDHOUSE Remix)'],['Billie Eilish'],/home/dhanush/Music/MusicClassify/happy/Billie Eilish - Ocean Eyes (GOLDHOUSE Remix).mp3,2
50,['Hey (feat. Afrojack)'],['Fais'],/home/dhanush/Music/MusicClassify/happy/Fais - Hey (feat. Afrojack).mp3,2
51,['Ghosts'],['Jacob Tillberg'],/home/dhanush/Music/MusicClassify/happy/Jacob Tillberg - Ghosts.mp3,2
52,"['Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix)']","['Dimitri Vegas, Moguai & Like Mike']","/home/dhanush/Music/MusicClassify/happy/Dimitri Vegas, Moguai & Like Mike-Body Talk (Feat. Julian Perretta) (Extended Mix).mp3",2
53,['On & On'],['GOLDHOUSE'],/home/dhanush/Music/MusicClassify/happy/GOLDHOUSE - On & On.mp3,2
54,"['Hey, Soul Sister']",['Train'],"/home/dhanush/Music/MusicClassify/happy/02  Train - Hey, Soul Sister.mp3",2
55,['Never Wanna Leave (feat. Stevyn)'],['Dytone'],/home/dhanush/Music/MusicClassify/happy/Dytone - Never Wanna Leave (feat. Stevyn).mp3,2
56,"['Revolution (feat. Imanos, Faustix & Kai)']",['Diplo'],"/home/dhanush/Music/MusicClassify/happy/02 Revolution (feat. Imanos, Faustix & Kai).mp3",2
57,['Believer'],['American Authors'],/home/dhanush/Music/MusicClassify/happy/01 Believer.mp3,2
58,['Rocketeer'],['Far East Movement'],/home/dhanush/Music/MusicClassify/happy/16 Rocketeer (feat. Ryan Tedder) (www.SongsLover.com).mp3,2
59,['How Deep Is Your Love (T-Mass & Ellusive Remix)'],['Calvin Harris & Disciples'],/home/dhanush/Music/MusicClassify/happy/Calvin Harris & Disciples - How Deep Is Your Love (T-Mass & Ellusive Remix).mp3,2
60,['Let Me Hold You (Turn Me On)'],['Cheat Codes & Dante Klein [mp3-crazy.com]'],/home/dhanush/Music/MusicClassify/happy/Cheat Codes & Dante Klein - Let Me Hold You (Turn Me On) (Original Mix) [pesnik.su].mp3,2
61,['Take My Breath Away'],['Alesso'],/home/dhanush/Music/MusicClassify/happy/Alesso - Take My Breath Away.mp3,2
62,['Follow Me'],['Hardwell & Jason Derulo'],/home/dhanush/Music/MusicClassify/happy/Hardwell & Jason Derulo - Follow Me.mp3,2
63,['Like A G6'],['Far East Movement feat. The Cataracs'],/home/dhanush/Music/MusicClassify/happy/far east movement feat.The cataracs-Like a g6.mp3,2
64,['Bigger Than My Body'],['John Mayer'],/home/dhanush/Music/MusicClassify/happy/John Mayer - Heavier Things - 02 - Bigger Than My Body.mp3,2
65,['Reverie (feat. King Deco)'],['Illenium'],/home/dhanush/Music/MusicClassify/happy/01 Reverie (feat. King Deco).mp3,2
66,"['GFDR (feat. Sage, The Gemini and Lookas)']",['Flo Rida'],/home/dhanush/Music/MusicClassify/happy/Flo Rida - GDFR (ft. Sage The Gemini and Lookas).mp3,2
67,['Misery'],['Maroon 5'],/home/dhanush/Music/MusicClassify/happy/Misery.mp3,2
68,['Broken Arrows (CDQ)'],['Avicii Ft. Zac Brown Band'],/home/dhanush/Music/MusicClassify/happy/Avicii Ft. Zac Brown Band - Broken Arrows .mp3,2
69,['Someday'],['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/happy/07 Someday.mp3,2
0,['Stop This Train'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/07 - Stop This Train.mp3,3
1,['You Make Me Wanna'],['Blue'],/home/dhanush/Music/MusicClassify/sadness/You know u make me wanna!.mp3,3
2,['Yellow'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Yellow.mp3,3
3,['Must Get Out'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Must Get Out.mp3,3
4,['She Will Be Loved'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/She Will Be Loved.mp3,3
5,['Better That We Break'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Better That We Break.mp3,3
6,['Amazing'],['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Amazing.mp3,3
7,['Calling Out Your Name'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Calling Out Your Name.mp3,3
8,['Miracles'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/12. Miracles.mp3,3
9,['Who Says'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/04 Who Says.mp3,3
10,['Fix You'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Coldplay - Fix You.mp3,3
11,['Nothing To Lose'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/05 Nothing To Lose.mp3,3
12,['Come Back To Bed'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 05 - Come Back To Bed.mp3,3
13,['Wheel'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 10 - Wheel.mp3,3
14,['Paint My Love'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/15 Paint My Love.mp3,3
15,"[""Janie's got a gun""]",['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Janie's got a gun.mp3,3
16,['Angle'],['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith_ Angle.mp3,3
17,"[""I'm Gonna Be Around""]",['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/17 I'm Gonna Be Around.mp3,3
18,['The Hardest Part'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/The Hardest Part.mp3,3
19,['1973'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/1973.mp3,3
20,['War Of My Life'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/08 War Of My Life.mp3,3
21,"[""Don't Cry (Original)""]","[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/sadness/08.Don't Cry (Original).mp3,3
22,['25 Minutes'],['Michael Learns to Rock'],/home/dhanush/Music/MusicClassify/sadness/09 25 Minutes.mp3,3
23,['Love Somebody'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/06 - Love Somebody (www.SongsLover.pk).mp3,3
24,['drowning'],['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/drowning.mp3,3
25,['Heartbreak Warfare'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/01 Heartbreak Warfare.mp3,3
26,['This Is Us'],['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/Backstreet Boys - This Is Us.mp3,3
27,"[""Lyin' Eyes""]",['Eagles'],/home/dhanush/Music/MusicClassify/sadness/076 Lyin_ Eyes.mp3,3
28,['Show Me The Meaning Of Being L'],['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/show me the meaning of beeing lonely.mp3,3
29,['All We Ever Do Is Say Goodbye'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/02 All We Ever Do Is Say Goodbye.mp3,3
30,['The Actor'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/04 The Actor.mp3,3
31,['Everglow'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/04. Everglow.mp3,3
32,['Trouble'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/Trouble.mp3,3
33,"[""I'm Gonna Find Another You""]",['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/12 - I'm Gonna Find Another You.mp3,3
34,['Do You Know Me'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/10 Do You Know Me.mp3,3
35,['If Time Is All I Have'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/If Time Is All I Have.mp3,3
36,['Nothing Lasts Forever'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Nothing Last Forever.mp3,3
37,['Beautiful Goodbye'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/12 - Beautiful Goodbye (www.SongsLover.pk).mp3,3
38,['Goodbye My Lover'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Goodbye My Lover.mp3,3
39,['Slow Dancing In A Burning Room'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/08 - Slow Dancing In A Burning Room.mp3,3
40,['The Man Who Never Lied'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/05 - The Man Who Never Lied (www.SongsLover.pk).mp3,3
41,['Back At Your Door'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Back At Your Door.mp3,3
42,['Secret'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Secret.mp3,3
43,['Halo'],['Beyonce'],/home/dhanush/Music/MusicClassify/sadness/Beyonce-Halo.mp3,3
44,['Parachute'],['Train'],/home/dhanush/Music/MusicClassify/sadness/04  Train - Parachute.mp3,3
45,['Dream On'],['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Dream On.mp3,3
46,"[""You're Beautiful""]",['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/You're Beautiful.mp3,3
47,['Edge Of Desire'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/09 Edge Of Desire.mp3,3
48,['Crazy'],['Aerosmith'],/home/dhanush/Music/MusicClassify/sadness/Aerosmith - Crazy.mp3,3
49,['Home To You'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/06 Home To You.mp3,3
50,"['Friends, Lovers Or Nothing']",['John Mayer'],"/home/dhanush/Music/MusicClassify/sadness/11 Friends, Lovers Or Nothing.mp3",3
51,"[""Won't Go Home Without You""]",['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/Won't Go Home Without You.mp3,3
52,['Take Me To Your Heart'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/16 Take Me To Your Heart.mp3,3
53,['Out Of The Blue'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/11 Out Of The Blue.mp3,3
54,['Lighters'],['Bad Meets Evil'],/home/dhanush/Music/MusicClassify/sadness/Bad Meets Evil-Lighters Ft.Bruno Mars.mp3,3
55,['Gravity'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/04 - Gravity.mp3,3
56,['Without U'],['David Guetta'],/home/dhanush/Music/MusicClassify/sadness/Without U (feat. Usher).mp3,3
57,['As Long As You Love Me'],['Backstreet Boys'],/home/dhanush/Music/MusicClassify/sadness/As long as you love me.mp3,3
58,['Best Laid Plans'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Best Laid Plans.mp3,3
59,['Same Mistake'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/Same Mistake.mp3,3
60,['November Rain'],"[""Guns N' Roses""]",/home/dhanush/Music/MusicClassify/sadness/09.November Rain.mp3,3
61,['Daylight'],['Maroon 5'],/home/dhanush/Music/MusicClassify/sadness/03 - Daylight (www.SongsLover.pk).mp3,3
62,['In Repair'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/11 - In Repair.mp3,3
63,['No Tears'],['James Blunt'],/home/dhanush/Music/MusicClassify/sadness/No Tears.mp3,3
64,['The Heart Of Life'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/05 - The Heart Of Life.mp3,3
65,['Assassin'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/06 Assassin.mp3,3
66,['Up&Up'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/11. Up&Up.mp3,3
67,['Dreaming With A Broken Heart'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/10 - Dreaming With A Broken Heart.mp3,3
68,['The Scientist'],['Coldplay'],/home/dhanush/Music/MusicClassify/sadness/The Scientist.mp3,3
69,['Sleeping Child'],['Michael Learns To Rock'],/home/dhanush/Music/MusicClassify/sadness/08 Sleeping Child.mp3,3
70,['Buried Alive'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/sadness/Buried Alive.mp3,3
71,['Clarity'],['John Mayer'],/home/dhanush/Music/MusicClassify/sadness/John Mayer - Heavier Things - 01 - Clarity.mp3,3
0,['Parallels'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Parallels.mp3,1
1,['Lord Abortion'],['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Lord Abortion.mp3,1
2,['The Danger In Starting A Fire'],['A Day To Remember'],/home/dhanush/Music/MusicClassify/anger/The Danger In Starting A Fire.mp3,1
3,['Last To Know'],['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Last To Know.mp3,1
4,['Anger And Apathy'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Anger And Apathy.mp3,1
5,['Hand of Blood'],['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Hand of Blood.mp3,1
6,['Hero'],['Skillet'],/home/dhanush/Music/MusicClassify/anger/Skillet - Hero.mp3,1
7,['The Change'],['Evanescence'],/home/dhanush/Music/MusicClassify/anger/03 The Change.mp3,1
8,['Cries in Vain'],['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Cries in Vain.mp3,1
9,['Too West Coast (ft. WC & Maylay)'],['Ice Cube'],/home/dhanush/Music/MusicClassify/anger/Ice Cube - Too West Coast (ft. WC & Maylay).mp3,1
10,['Punch Me I Bleed'],['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Punch Me I Bleed.mp3,1
11,"[""I Won't See You Tonight, Pt. 2""]",['Avenged Sevenfold'],"/home/dhanush/Music/MusicClassify/anger/I Won't See You Tonight, Pt. 2.mp3",1
12,['Unholy Confessions'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Unholy Confessions.mp3,1
13,['In Your Face'],['Children Of Bodom'],/home/dhanush/Music/MusicClassify/anger/In Your Face.mp3,1
14,['Clairvoyant Disease'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Clairvoyant Disease.mp3,1
15,['Hallowed Be Thy Name'],['Cradle Of Filth'],/home/dhanush/Music/MusicClassify/anger/Hallowed Be Thy Name.mp3,1
16,['And All Things Will End'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/And All Things Will End.mp3,1
17,['Oops I Did It Again!'],['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Oops!..I did it Again.mp3,1
18,['Eternal Rest'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Eternal Rest.mp3,1
19,['Going Through Changes'],['Eminem'],/home/dhanush/Music/MusicClassify/anger/06-eminem-going_through_changes.mp3,1
20,['Watercolour'],['Pendulum'],/home/dhanush/Music/MusicClassify/anger/03 Watercolour.mp3,1
21,['Sink or Swim'],['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/Sink Or Swim.mp3,1
22,['Shooting Guns'],['50 Cent'],/home/dhanush/Music/MusicClassify/anger/05 - Shooting Guns (www.SongsLover.com).mp3,1
23,['Desecrate Through Reverance'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Desecrate Through Reverance.mp3,1
24,['Nymphetamine'],['Cradle Of Filth'],/home/dhanush/Music/MusicClassify/anger/Nymphetamine.mp3,1
25,['Condemned'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Condemned.mp3,1
26,['Monster'],['Skillet'],/home/dhanush/Music/MusicClassify/anger/Skillet - Monster.mp3,1
27,['Her Ghost in the Fog'],['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Her Ghost in the Fog.mp3,1
28,['Beast and the Harlot'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Beast and the Harlot.mp3,1
29,['Anodyne Sea'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Anodyne Sea.mp3,1
30,['From The Cradle To Enslave'],['Cradle Of Filth'],/home/dhanush/Music/MusicClassify/anger/From the Cradle to Enslave.mp3,1
31,['Eye Of The Storm'],['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Eye Of The Storm.mp3,1
32,['We Stitch These Wounds'],['Black Veil Brides'],/home/dhanush/Music/MusicClassify/anger/02 We Stitch These Wounds.mp3,1
33,['The Plot To Bomb The Panhandle'],['A Day To Remember'],/home/dhanush/Music/MusicClassify/anger/The Plot To Bomb The Panhandle.mp3,1
34,['Second Heartbeat'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Second Heartbeat.mp3,1
35,['Forgive Me Father (I Have Sinned)'],['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Forgive Me Father (I Have Sinned).mp3,1
36,['Waking the Fallen'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Waking the Fallen.mp3,1
37,['Pick Up the Phone'],['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/Pick Up The Phone.mp3,1
38,['The Blinding Of False Light'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/The Blinding Of False Light.mp3,1
39,['Remenissions'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Remenissions.mp3,1
40,['Are You Dead Yet?'],['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Are You Dead Yet.mp3,1
41,['Hearts Burst Into Fire'],['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Hearts Burst Into Fire.mp3,1
42,['An Epic of Time Wasted'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/An Epic of Time Wasted.mp3,1
43,['Burn It Down'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Burn It Down.mp3,1
44,['The Plague'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/The Plague.mp3,1
45,['Niggas Be Scheming'],['50 Cent'],/home/dhanush/Music/MusicClassify/anger/02 - Niggas Be Scheming (www.SongsLover.com).mp3,1
46,['Upside Down Kingdom'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Upside Down Kingdom.mp3,1
47,['I Need A Doctor'],"['Dr. Dre ft Eminem, Skylar Grey']",/home/dhanush/Music/MusicClassify/anger/Dr-Dre-ft-Eminem-Skylar-Grey--I-Need-Doctor.mp3,1
48,['The Downfall Of Us All'],['A Day To Remember'],/home/dhanush/Music/MusicClassify/anger/The DownFall Of Us ALL.mp3,1
49,['Bastards of Bodom'],['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Bastards Of Bodom.mp3,1
50,['The Only Constant Is Change'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/The Only Constant Is Change.mp3,1
51,['Temptation'],['Cradle of Filth'],/home/dhanush/Music/MusicClassify/anger/Temptation.mp3,1
52,['Raised By Wolves'],['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/Raised By Wolves.mp3,1
53,['What You Want'],['Evanescence'],/home/dhanush/Music/MusicClassify/anger/01 What You Want.mp3,1
54,['End Of Days'],['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/End Of Days.mp3,1
55,['Vacancy'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Vacancy.mp3,1
56,['Living Dead Beat'],['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Living Dead Beat.mp3,1
57,['No Control'],['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/No Control.mp3,1
58,['Without Conclusion'],['As I Lay Dying'],/home/dhanush/Music/MusicClassify/anger/Without Conclusion.mp3,1
59,['Disappear'],['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Disappear.mp3,1
60,['Radiant Eclipse'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Radiant Eclipse.mp3,1
61,['Chapter Four'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Chapter Four.mp3,1
62,['Next In Line'],['Children of Bodom'],/home/dhanush/Music/MusicClassify/anger/Next In Line.mp3,1
63,['The Drug In Me is You'],['Falling in Reverse'],/home/dhanush/Music/MusicClassify/anger/The Drug In Me Is You.mp3,1
64,['Forever And Always'],['Bullet For My Valentine'],/home/dhanush/Music/MusicClassify/anger/Forever And Always.mp3,1
65,['Breaking Their Hold'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Breaking Their Hold.mp3,1
66,['On Fire'],['Eminem'],/home/dhanush/Music/MusicClassify/anger/03-eminem-on_fire.mp3,1
67,"[""I Won't See You Tonight, Pt. 1""]",['Avenged Sevenfold'],"/home/dhanush/Music/MusicClassify/anger/I Won't See You Tonight, Pt. 1.mp3",1
68,['Curses'],['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Curses.mp3,1
69,['Bat Country'],['Avenged Sevenfold'],/home/dhanush/Music/MusicClassify/anger/Bat Country.mp3,1
70,['Just Another Star'],['Bullet for My Valentine'],/home/dhanush/Music/MusicClassify/anger/Just Another Star.mp3,1
71,['Stop Crying'],['50 Cent'],/home/dhanush/Music/MusicClassify/anger/11 - Stop Crying (www.SongsLover.com).mp3,1
